id,enter,exit,duration,weight_enter,weight_exit,post_thresh_dur,pre_sampling_both_p_dur,easy_patch,hard_patch,post_easy_rate,post_hard_rate,pre_easy_n_pel,pre_hard_n_pel,post_easy_n_pel,post_hard_n_pel,pre_easy_wheel_dist,pre_hard_wheel_dist,post_easy_wheel_dist,post_hard_wheel_dist,pre_easy_pref,post_easy_pref,post_hard_pref,post_pre_easy_pref,post_easy_pel_thresh,post_hard_pel_thresh,init_pref_by_pel_ct
BAA-1103050,2023-03-10 09:41:48,2023-03-10 12:55:19,0 days 03:13:30,23.2,23.9,0 days 02:22:53,0 days 00:17:40,2.0,1.0,0.01,0.0025,1.0,17.0,21.0,18.0,89.73108099555596,1275.490836062112,3207.803305572427,8580.920439916761,0.06572637010468214,0.27210776796766095,0.7278922320323391,4.140009063854826,"[121.82313697 239.64610618 214.05579437 109.9239533  160.17865132
  84.30189922  82.35079958 223.87618754  84.99541869 249.33721412
 101.76616648 142.51341853 247.14788742 229.39460828 113.40283355
  98.64308542  88.15470072 100.83713784 215.91823389 101.02216225
 194.80219356]","[ 787.95540445  453.69105725  131.53345137  306.64304545  380.24772816
  384.27158204   95.25711591  445.84531419  969.33306518 1463.26474665
  485.42365527  241.44494992  587.93195016  349.84009824  710.27658798
  136.52422291  118.38037707  173.97669313]","[0.88150448 0.88339886 0.89382821 0.90253617 0.90992367 0.91627272
 0.921296   0.92647416 0.93045298 0.93427363]"
BAA-1103045,2023-03-10 12:12:45,2023-03-10 15:22:14,0 days 03:09:28,23.0,23.7,0 days 02:15:22,0 days 00:07:38,2.0,1.0,0.01,0.0025,9.0,9.0,24.0,14.0,637.3787742445905,671.4076130369625,3490.806286491154,7168.452098860919,0.48699984996671136,0.32749054017568535,0.6725094598243146,0.672465382069565,"[129.14536234  79.02768659 191.03606587  87.87962332 123.83584359
  88.11296755  75.427048   140.70902035 171.50314557  85.64260988
 241.29984745  77.20918205 519.8752971  114.51729269 121.63004588
 153.63766434 114.35854894 193.63110957  89.99969856 113.3358779
 141.09557032 183.51705505  84.89280616 164.92344106]","[1549.3402701   194.00887665  117.72505229  465.42204275  329.50754291
  615.79118992  442.56616337  275.65361908  123.88452234  119.31135462
  418.73965807  472.73244435 1083.06498922  280.39059296]","[0.40413871 0.3611177  0.32637089 0.29772567 0.32926191 0.38069765
 0.42494578 0.46329115 0.49682231 0.51300015]"
BAA-1103048,2023-03-10 13:08:24,2023-03-10 16:16:31,0 days 03:08:06,22.5,24.6,0 days 01:28:08,0 days 01:39:59,2.0,1.0,0.01,0.0025,1.0,68.0,1.0,33.0,89.78937582352955,5115.579788803542,271.8916798920769,13906.20053161108,0.017249377130385015,0.01917688754143397,0.980823112458566,1.1117437688607097,[193.26450566],"[ 522.37015483  274.44324725  115.27719738  253.72093211   96.88569858
   95.87925864  117.73349579  303.23934356  100.43017768 1028.30319623
  286.78172115  165.79838491  759.228866    666.71881829  689.08713908
  485.91122342  314.75476405  304.73397148  121.26909068  308.66142228
  551.98755055  257.11966297   78.52571349  622.38124304  664.68603165
  483.7438838  1323.70389731  153.87903506  311.2680845   504.43946197
 1538.82703951  123.74952187]","[0.9945818  0.99479547 0.99527363 0.99566706 0.99597009 0.99621872
 0.996467   0.99669097 0.99688407 0.98767382]"
BAA-1103047,2023-03-10 15:27:05,2023-03-10 19:10:44,0 days 03:43:38,19.8,21.0,0 days 03:17:44,0 days 00:06:35,1.0,2.0,0.01,0.0025,7.0,11.0,0.0,51.0,526.3777514107767,825.2875499941913,20.80511728888962,24885.27661582162,0.3894290627003899,0.0008353428496635419,0.9991646571503364,0.0021450449636991244,[],"[ 137.33419586  514.59931272  162.64279514  254.30343124  297.18451502
  188.51728976  727.80491268  369.10382661  759.78033801  173.07406467
  171.75273895  578.84799501  298.95777011  396.85154979  283.48229508
  693.36014443  981.24073666  269.6011249   723.52284854  169.56921942
   96.39919596  399.61211035  551.19425852  445.6331765   297.95302424
 2017.24743011  344.26583836  687.954462   1073.82591587  723.34177658
  112.00100469  166.92930781  465.11422763  955.97648417  212.70700494
  375.35910669  286.60623033  854.49364527  213.94057325  374.56960734
  456.81672903  245.37468512 1282.416777    320.9669323   592.21043241
  155.27617062  202.92142674  115.65148328  129.90352282  678.99738039
 1400.85833603]","[0.22612623 0.29955497 0.36308371 0.41617011 0.46097764 0.49944857
 0.53274905 0.5619516  0.58767878 0.61057094]"
BAA-1103049,2023-03-10 16:22:29,2023-03-10 19:21:50,0 days 02:59:20,20.9,22.6,0 days 02:34:42,0 days 00:03:20,1.0,2.0,0.01,0.0025,8.0,10.0,67.0,1.0,600.2112191881669,756.8739671439245,11424.822884087323,2429.829678850904,0.4422796927069909,0.8246199485831353,0.17538005141686475,1.8644761723876926,"[ 93.19728225 114.71862034 123.42631858 118.12287863 163.98631167
 128.30189393  84.97526605 330.55864535 523.90543247 126.64632302
 346.04646532 110.14512111  98.11126608 123.34952546 134.3514718
  98.83939267 160.23240532 275.3381127  369.25814703 211.19695015
 126.88363744 138.03210744 126.4087183   81.59580283  96.56697446
 118.59337328 264.89315168 133.30360198 113.95206809 180.72243086
 148.98138796 146.41348104 340.24879719 252.4018045  136.46778006
 649.25700969  95.90366689 201.6390777  638.86209285  82.95637842
 106.53278237  87.24861163 102.46750069 157.19241991  76.15176798
 104.45956289  98.7435514  127.15966171  81.88185484 178.35139557
  99.83147779 106.51284048 147.69135628 133.227035   218.37581722
 146.15107005 335.14953789 113.56906249  91.9947862  101.91202255
 157.75883117 180.88335605 166.56279416 115.97556102 130.01030505
 120.69839117 122.16047641]",[1578.32854895],"[0.67027241 0.69870348 0.72265955 0.74562745 0.76508088 0.71604351
 0.66860008 0.6229539  0.59033237 0.55772031]"
